country_code,vd,ad,X,ad_rank,Y,Z
AD,0.0,0.0,0.0,77.0,69.23076923076923,0.0
AE,1.516622179082747,0.0,0.005687333171560301,77.0,69.23076923076923,53.325
AF,0.0497286877389991,0.0497286877389991,0.0001864825790212466,54.0,78.5425101214575,50.0
AG,10.211584020913325,0.0,0.038293440078424966,77.0,69.23076923076923,100.0
AI,0.0,0.0,0.0,77.0,69.23076923076923,0.0
AL,0.7047854580206876,0.3523927290103438,0.0026429454675775785,22.0,91.49797570850203,75.0
AM,2.024814780067993,0.6749382600226644,0.007593055425254974,16.0,93.92712550607287,66.67500000000001
AO,0.0,0.0,0.0,77.0,69.23076923076923,0.0
AQ,0.0,0.0,0.0,77.0,69.23076923076923,0.0
AR,0.286490246120024,0.1763016899200148,0.0010743384229500899,34.0,86.63967611336032,76.925
AS,0.0,0.0,0.0,77.0,69.23076923076923,0.0
AT,0.7849993355541338,0.1121427622220191,0.0029437475083280017,44.0,82.5910931174089,64.275
AU,6.773843666929173,0.5060917682188463,0.025401913750984398,18.0,93.11740890688259,53.150000000000006
AW,0.0,0.0,0.0,77.0,69.23076923076923,0.0
AX,0.0,0.0,0.0,77.0,69.23076923076923,0.0
AZ,0.5934650007972213,0.1978216669324071,0.00222549375298958,31.0,87.85425101214575,50.0
BA,0.3048023128399498,0.0,0.0011430086731498118,77.0,69.23076923076923,50.0
BB,0.0,0.0,0.0,77.0,69.23076923076923,0.0
BD,0.0425042578488499,0.0242881473421999,0.00015939096693318711,67.0,73.27935222672065,85.725
BE,1.5576328031237807,0.1730703114581978,0.0058411230117141775,36.0,85.82995951417004,52.77499999999999
BF,0.0,0.0,0.0,77.0,69.23076923076923,0.0
BG,0.5774265484559037,0.4330699113419278,0.0021653495567096385,20.0,92.3076923076923,62.5
BH,1.1753761056616103,0.0,0.004407660396231038,77.0,69.23076923076923,75.0
BI,0.0,0.0,0.0,77.0,69.23076923076923,0.0
BJ,0.0,0.0,0.0,77.0,69.23076923076923,0.0
BL,0.0,0.0,0.0,77.0,69.23076923076923,0.0
BM,0.0,0.0,0.0,77.0,69.23076923076923,0.0
BN,2.285803105492099,0.0,0.008571761645595371,77.0,69.23076923076923,50.0
BO,0.1713351350365016,0.0,0.000642506756386881,77.0,69.23076923076923,100.0
BQ,0.0,0.0,0.0,77.0,69.23076923076923,0.0
BR,0.0705685063322696,0.0235228354440898,0.00026463189874601097,70.0,72.06477732793522,70.0
BS,12.714622833428267,0.0,0.047679835625356,77.0,69.23076923076923,60.0
BT,0.0,0.0,0.0,77.0,69.23076923076923,0.0
BV,,,,,,0.0
