country_code,vd,ad,X,ad_rank,Y,Z,GCI,F
GA,1.347873594617132,0.0,0.0050545259798142,77.0,69.23076923076923,66.67500000000001,11.36,4615.961538461539
GB,8.807519443529019,0.7290007647515574,0.0330281979132338,13.0,95.1417004048583,53.2,99.54,5061.538461538462
GD,0.0,0.0,0.0,77.0,69.23076923076923,0.0,9.41,0.0
GE,0.5385029617662896,0.0,0.0020193861066235,77.0,69.23076923076923,50.0,81.06,3461.5384615384614
GF,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
GG,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
GH,0.1287293495997885,0.0321823373999471,0.0004827350609992,62.0,75.30364372469636,50.0,86.69,3765.182186234818
GI,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
GL,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
GM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,32.12,0.0
GN,0.0,0.0,0.0,77.0,69.23076923076923,0.0,20.53,0.0
GP,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
GQ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,1.46,0.0
GR,0.0933223300084764,0.0,0.0003499587375317,77.0,69.23076923076923,50.0,93.98,3461.5384615384614
GS,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
