Column,DataType
asset.assets.amount.M - SIM card,float64
asset.assets.amount.M - Smart card,float64
asset.assets.amount.M - Tapes,float64
asset.assets.amount.M - Unknown,float64
asset.assets.amount.N - Access reader,float64
asset.assets.amount.N - Broadband,float64
asset.assets.amount.N - Camera,float64
asset.assets.amount.N - Firewall,float64
asset.assets.amount.N - HSM,float64
asset.assets.amount.N - IDS,float64
asset.assets.amount.N - LAN,float64
asset.assets.amount.N - NAS,float64
asset.assets.amount.N - Other,float64
asset.assets.amount.N - PBX,float64
asset.assets.amount.N - PLC,float64
asset.assets.amount.N - Private WAN,float64
asset.assets.amount.N - Public WAN,float64
asset.assets.amount.N - Router or switch,float64
asset.assets.amount.N - RTU,float64
asset.assets.amount.N - SAN,float64
asset.assets.amount.N - Telephone,float64
asset.assets.amount.N - Unknown,float64
asset.assets.amount.N - VoIP adapter,float64
asset.assets.amount.N - WLAN,float64
asset.assets.amount.Other,float64
asset.assets.amount.P - Auditor,float64
asset.assets.amount.P - Call center,float64
asset.assets.amount.P - Cashier,float64
asset.assets.amount.P - Customer,float64
asset.assets.amount.P - Developer,float64
asset.assets.amount.P - End-user,float64
asset.assets.amount.P - End-user or employee,float64
asset.assets.amount.P - Executive,float64
asset.assets.amount.P - Finance,float64
asset.assets.amount.P - Former employee,float64
asset.assets.amount.P - Guard,float64
asset.assets.amount.P - Helpdesk,float64
asset.assets.amount.P - Human resources,float64
asset.assets.amount.P - Maintenance,float64
asset.assets.amount.P - Manager,float64
asset.assets.amount.P - Other,float64
asset.assets.amount.P - Other employee,float64
asset.assets.amount.P - Partner,float64
asset.assets.amount.P - System admin,float64
asset.assets.amount.P - Unknown,float64
asset.assets.amount.S - Authentication,float64
asset.assets.amount.S - Backup,float64
asset.assets.amount.S - Code repository,float64
asset.assets.amount.S - Configuration or patch management,float64
asset.assets.amount.S - Database,float64
asset.assets.amount.S - DCS,float64
asset.assets.amount.S - DHCP,float64
asset.assets.amount.S - Directory,float64
asset.assets.amount.S - DNS,float64
asset.assets.amount.S - File,float64
asset.assets.amount.S - ICS,float64
asset.assets.amount.S - Log,float64
asset.assets.amount.S - Mail,float64
asset.assets.amount.S - Mainframe,float64
asset.assets.amount.S - Other,float64
asset.assets.amount.S - Payment switch,float64
asset.assets.amount.S - POS controller,float64
asset.assets.amount.S - Print,float64
asset.assets.amount.S - Proxy,float64
asset.assets.amount.S - Remote access,float64
asset.assets.amount.S - Unknown,float64
asset.assets.amount.S - VM host,float64
asset.assets.amount.S - Web application,float64
asset.assets.amount.T - ATM,float64
asset.assets.amount.T - Gas terminal,float64
asset.assets.amount.T - Kiosk,float64
asset.assets.amount.T - Other,float64
asset.assets.amount.T - PED pad,float64
asset.assets.amount.T - Unknown,float64
asset.assets.amount.U - Auth token,float64
asset.assets.amount.U - Desktop,float64
asset.assets.amount.U - Desktop or laptop,float64
asset.assets.amount.U - Laptop,float64
asset.assets.amount.U - Media,float64
asset.assets.amount.U - Mobile phone,float64
asset.assets.amount.U - Other,float64
asset.assets.amount.U - Peripheral,float64
asset.assets.amount.U - POS terminal,float64
asset.assets.amount.U - Tablet,float64
asset.assets.amount.U - Telephone,float64
asset.assets.amount.U - Unknown,float64
asset.assets.amount.U - VoIP phone,float64
asset.assets.amount.Unknown,float64
asset.assets.variety.E - Other,bool
asset.assets.variety.E - Telematics,bool
asset.assets.variety.E - Telemetry,bool
asset.assets.variety.E - Unknown,bool
asset.assets.variety.M - Disk drive,bool
asset.assets.variety.M - Disk media,bool
asset.assets.variety.M - Documents,bool
asset.assets.variety.M - Fax,bool
asset.assets.variety.M - Flash drive,bool
asset.assets.variety.M - Other,bool
asset.assets.variety.M - Payment card,bool
asset.assets.variety.M - SIM card,bool
asset.assets.variety.M - Smart card,bool
asset.assets.variety.M - Tapes,bool
asset.assets.variety.M - Unknown,bool
asset.assets.variety.N - Access reader,bool
asset.assets.variety.N - Broadband,bool
asset.assets.variety.N - Camera,bool
asset.assets.variety.N - Firewall,bool
asset.assets.variety.N - HSM,bool
asset.assets.variety.N - IDS,bool
asset.assets.variety.N - LAN,bool
asset.assets.variety.N - NAS,bool
asset.assets.variety.N - Other,bool
asset.assets.variety.N - PBX,bool
asset.assets.variety.N - PLC,bool
asset.assets.variety.N - Private WAN,bool
asset.assets.variety.N - Public WAN,bool
asset.assets.variety.N - Router or switch,bool
asset.assets.variety.N - RTU,bool
asset.assets.variety.N - SAN,bool
asset.assets.variety.N - Telephone,bool
asset.assets.variety.N - Unknown,bool
asset.assets.variety.N - VoIP adapter,bool
asset.assets.variety.N - WLAN,bool
asset.assets.variety.Other,bool
asset.assets.variety.P - Auditor,bool
asset.assets.variety.P - Call center,bool
asset.assets.variety.P - Cashier,bool
asset.assets.variety.P - Customer,bool
asset.assets.variety.P - Developer,bool
asset.assets.variety.P - End-user,bool
asset.assets.variety.P - End-user or employee,bool
asset.assets.variety.P - Executive,bool
asset.assets.variety.P - Finance,bool
asset.assets.variety.P - Former employee,bool
asset.assets.variety.P - Guard,bool
asset.assets.variety.P - Helpdesk,bool
asset.assets.variety.P - Human resources,bool
asset.assets.variety.P - Maintenance,bool
asset.assets.variety.P - Manager,bool
asset.assets.variety.P - Other,bool
asset.assets.variety.P - Other employee,bool
asset.assets.variety.P - Partner,bool
asset.assets.variety.P - System admin,bool
asset.assets.variety.P - Unknown,bool
asset.assets.variety.S - Authentication,bool
asset.assets.variety.S - Backup,bool
asset.assets.variety.S - Code repository,bool
asset.assets.variety.S - Configuration or patch management,bool
asset.assets.variety.S - Database,bool
asset.assets.variety.S - DCS,bool
asset.assets.variety.S - DHCP,bool
asset.assets.variety.S - Directory,bool
asset.assets.variety.S - DNS,bool
asset.assets.variety.S - File,bool
asset.assets.variety.S - ICS,bool
asset.assets.variety.S - Log,bool
asset.assets.variety.S - Mail,bool
asset.assets.variety.S - Mainframe,bool
asset.assets.variety.S - Other,bool
asset.assets.variety.S - Payment switch,bool
asset.assets.variety.S - POS controller,bool
asset.assets.variety.S - Print,bool
asset.assets.variety.S - Proxy,bool
asset.assets.variety.S - Remote access,bool
asset.assets.variety.S - Unknown,bool
asset.assets.variety.S - VM host,bool
asset.assets.variety.S - Web application,bool
asset.assets.variety.T - ATM,bool
asset.assets.variety.T - Gas terminal,bool
asset.assets.variety.T - Kiosk,bool
asset.assets.variety.T - Other,bool
asset.assets.variety.T - PED pad,bool
asset.assets.variety.T - Unknown,bool
asset.assets.variety.U - Auth token,bool
asset.assets.variety.U - Desktop,bool
asset.assets.variety.U - Desktop or laptop,bool
asset.assets.variety.U - Laptop,bool
asset.assets.variety.U - Media,bool
asset.assets.variety.U - Mobile phone,bool
asset.assets.variety.U - Other,bool
asset.assets.variety.U - Peripheral,bool
asset.assets.variety.U - POS terminal,bool
asset.assets.variety.U - Tablet,bool
asset.assets.variety.U - Telephone,bool
asset.assets.variety.U - Unknown,bool
asset.assets.variety.U - VoIP phone,bool
asset.assets.variety.Unknown,bool
asset.cloud.External Cloud Asset(s),bool
asset.cloud.NA,bool
asset.cloud.On-Premise Asset(s),bool
asset.cloud.Other,bool
asset.cloud.Unknown,bool
asset.country.AD,bool
asset.country.AE,bool
asset.country.AF,bool
asset.country.AG,bool
asset.country.AI,bool
asset.country.AL,bool
asset.country.AM,bool
asset.country.AO,bool
asset.country.AQ,bool
asset.country.AR,bool
asset.country.AS,bool
asset.country.AT,bool
asset.country.AU,bool
asset.country.AW,bool
asset.country.AX,bool
asset.country.AZ,bool
asset.country.BA,bool
asset.country.BB,bool
asset.country.BD,bool
asset.country.BE,bool
asset.country.BF,bool
asset.country.BG,bool
asset.country.BH,bool
asset.country.BI,bool
asset.country.BJ,bool
asset.country.BL,bool
asset.country.BM,bool
asset.country.BN,bool
asset.country.BO,bool
asset.country.BQ,bool
asset.country.BR,bool
asset.country.BS,bool
asset.country.BT,bool
asset.country.BV,bool
asset.country.BW,bool
asset.country.BY,bool
asset.country.BZ,bool
asset.country.CA,bool
asset.country.CC,bool
asset.country.CD,bool
asset.country.CF,bool
asset.country.CG,bool
asset.country.CH,bool
asset.country.CI,bool
asset.country.CK,bool
asset.country.CL,bool
asset.country.CM,bool
asset.country.CN,bool
asset.country.CO,bool
asset.country.CR,bool
asset.country.CU,bool
asset.country.CV,bool
asset.country.CW,bool
asset.country.CX,bool
asset.country.CY,bool
asset.country.CZ,bool
asset.country.DE,bool
asset.country.DJ,bool
asset.country.DK,bool
asset.country.DM,bool
asset.country.DO,bool
asset.country.DZ,bool
asset.country.EC,bool
asset.country.EE,bool
asset.country.EG,bool
asset.country.EH,bool
asset.country.ER,bool
asset.country.ES,bool
asset.country.ET,bool
asset.country.FI,bool
asset.country.FJ,bool
asset.country.FK,bool
asset.country.FM,bool
asset.country.FO,bool
asset.country.FR,bool
asset.country.GA,bool
asset.country.GB,bool
asset.country.GD,bool
asset.country.GE,bool
asset.country.GF,bool
asset.country.GG,bool
asset.country.GH,bool
asset.country.GI,bool
asset.country.GL,bool
asset.country.GM,bool
asset.country.GN,bool
asset.country.GP,bool
asset.country.GQ,bool
asset.country.GR,bool
asset.country.GS,bool
asset.country.GT,bool
asset.country.GU,bool
asset.country.GW,bool
asset.country.GY,bool
asset.country.HK,bool
asset.country.HM,bool
asset.country.HN,bool
asset.country.HR,bool
asset.country.HT,bool
asset.country.HU,bool
asset.country.ID,bool
asset.country.IE,bool
asset.country.IL,bool
asset.country.IM,bool
asset.country.IN,bool
asset.country.IO,bool
asset.country.IQ,bool
asset.country.IR,bool
asset.country.IS,bool
asset.country.IT,bool
asset.country.JE,bool
asset.country.JM,bool
asset.country.JO,bool
asset.country.JP,bool
asset.country.KE,bool
asset.country.KG,bool
asset.country.KH,bool
asset.country.KI,bool
asset.country.KM,bool
asset.country.KN,bool
asset.country.KP,bool
asset.country.KR,bool
asset.country.KW,bool
asset.country.KY,bool
asset.country.KZ,bool
asset.country.LA,bool
asset.country.LB,bool
asset.country.LC,bool
asset.country.LI,bool
asset.country.LK,bool
asset.country.LR,bool
asset.country.LS,bool
asset.country.LT,bool
asset.country.LU,bool
asset.country.LV,bool
asset.country.LY,bool
asset.country.MA,bool
asset.country.MC,bool
asset.country.MD,bool
asset.country.ME,bool
asset.country.MF,bool
asset.country.MG,bool
asset.country.MH,bool
asset.country.MK,bool
asset.country.ML,bool
asset.country.MM,bool
asset.country.MN,bool
asset.country.MO,bool
asset.country.MP,bool
asset.country.MQ,bool
asset.country.MR,bool
asset.country.MS,bool
asset.country.MT,bool
asset.country.MU,bool
asset.country.MV,bool
asset.country.MW,bool
asset.country.MX,bool
asset.country.MY,bool
asset.country.MZ,bool
asset.country.NA,bool
asset.country.NC,bool
asset.country.NE,bool
asset.country.NF,bool
asset.country.NG,bool
asset.country.NI,bool
asset.country.NL,bool
asset.country.NO,bool
asset.country.NP,bool
asset.country.NR,bool
asset.country.NU,bool
asset.country.NZ,bool
asset.country.OM,bool
asset.country.Other,bool
asset.country.PA,bool
asset.country.PE,bool
asset.country.PF,bool
asset.country.PG,bool
asset.country.PH,bool
asset.country.PK,bool
asset.country.PL,bool
asset.country.PM,bool
asset.country.PN,bool
asset.country.PR,bool
asset.country.PS,bool
asset.country.PT,bool
asset.country.PW,bool
asset.country.PY,bool
asset.country.QA,bool
asset.country.RE,bool
asset.country.RO,bool
asset.country.RS,bool
asset.country.RU,bool
asset.country.RW,bool
asset.country.SA,bool
asset.country.SB,bool
asset.country.SC,bool
asset.country.SD,bool
asset.country.SE,bool
asset.country.SG,bool
asset.country.SH,bool
asset.country.SI,bool
asset.country.SJ,bool
asset.country.SK,bool
asset.country.SL,bool
asset.country.SM,bool
asset.country.SN,bool
asset.country.SO,bool
asset.country.SR,bool
asset.country.SS,bool
asset.country.ST,bool
asset.country.SV,bool
asset.country.SX,bool
asset.country.SY,bool
asset.country.SZ,bool
asset.country.TC,bool
asset.country.TD,bool
asset.country.TF,bool
asset.country.TG,bool
asset.country.TH,bool
asset.country.TJ,bool
asset.country.TK,bool
asset.country.TL,bool
asset.country.TM,bool
asset.country.TN,bool
asset.country.TO,bool
asset.country.TR,bool
asset.country.TT,bool
asset.country.TV,bool
asset.country.TW,bool
asset.country.TZ,bool
asset.country.UA,bool
asset.country.UG,bool
asset.country.UM,bool
asset.country.Unknown,bool
asset.country.US,bool
asset.country.UY,bool
asset.country.UZ,bool
asset.country.VA,bool
asset.country.VC,bool
asset.country.VE,bool
asset.country.VG,bool
asset.country.VI,bool
asset.country.VN,bool
asset.country.VU,bool
asset.country.WF,bool
asset.country.WS,bool
asset.country.XK,bool
asset.country.YE,bool
asset.country.YT,bool
asset.country.ZA,bool
asset.country.ZM,bool
asset.country.ZW,bool
asset.hosting.External - dedicated environment,bool
asset.hosting.External - shared environment,bool
asset.hosting.External - unknown environment,bool
asset.hosting.Internal,bool
asset.hosting.NA,bool
asset.hosting.Other,bool
asset.hosting.Unknown,bool
asset.management.Co-managed,bool
asset.management.External,bool
asset.management.Internal,bool
asset.management.NA,bool
asset.management.Other,bool
asset.management.Unknown,bool
asset.notes,object
asset.ownership.Customer,bool
asset.ownership.Employee,bool
asset.ownership.NA,bool
asset.ownership.Other,bool
asset.ownership.Partner,bool
asset.ownership.Unknown,bool
asset.ownership.Victim,bool
asset.role.IT,bool
asset.role.NA,bool
asset.role.OT,bool
asset.role.Other,bool
asset.role.Unknown,bool
asset.total_amount,float64
attribute.availability.duration.unit.Days,bool
attribute.availability.duration.unit.Hours,bool
attribute.availability.duration.unit.Minutes,bool
attribute.availability.duration.unit.Months,bool
attribute.availability.duration.unit.NA,bool
attribute.availability.duration.unit.Never,bool
attribute.availability.duration.unit.Seconds,bool
attribute.availability.duration.unit.Unknown,bool
attribute.availability.duration.unit.Weeks,bool
attribute.availability.duration.unit.Years,bool
attribute.availability.duration.value,float64
attribute.availability.notes,object
attribute.availability.variety.Acceleration,bool
attribute.availability.variety.Degradation,bool
attribute.availability.variety.Destruction,bool
attribute.availability.variety.Interruption,bool
attribute.availability.variety.Loss,bool
attribute.availability.variety.Obscuration,bool
attribute.availability.variety.Other,bool
attribute.availability.variety.Unknown,bool
attribute.confidentiality.data_disclosure.No,bool
attribute.confidentiality.data_disclosure.Potentially,bool
attribute.confidentiality.data_disclosure.Unknown,bool
attribute.confidentiality.data_disclosure.Yes,bool
attribute.confidentiality.data_total,float64
attribute.confidentiality.data_victim.Customer,bool
attribute.confidentiality.data_victim.Employee,bool
attribute.confidentiality.data_victim.Other,bool
attribute.confidentiality.data_victim.Partner,bool
attribute.confidentiality.data_victim.Patient,bool
attribute.confidentiality.data_victim.Student,bool
attribute.confidentiality.data_victim.Unknown,bool
attribute.confidentiality.data_victim.Victim organization,bool
attribute.confidentiality.data.amount.API key,float64
attribute.confidentiality.data.amount.Bank,float64
attribute.confidentiality.data.amount.Classified,float64
attribute.confidentiality.data.amount.Copyrighted,float64
attribute.confidentiality.data.amount.Credentials,float64
attribute.confidentiality.data.amount.Digital certificate,float64
attribute.confidentiality.data.amount.Internal,float64
attribute.confidentiality.data.amount.Medical,float64
attribute.confidentiality.data.amount.Multi-factor credential,float64
attribute.confidentiality.data.amount.Other,float64
attribute.confidentiality.data.amount.Payment,float64
attribute.confidentiality.data.amount.Personal,float64
attribute.confidentiality.data.amount.Secrets,float64
attribute.confidentiality.data.amount.Sensitive Personal,float64
attribute.confidentiality.data.amount.Session key,float64
attribute.confidentiality.data.amount.Source code,float64
attribute.confidentiality.data.amount.System,float64
attribute.confidentiality.data.amount.Unknown,float64
attribute.confidentiality.data.amount.Virtual currency,float64
attribute.confidentiality.data.variety.API key,bool
attribute.confidentiality.data.variety.Bank,bool
attribute.confidentiality.data.variety.Classified,bool
attribute.confidentiality.data.variety.Copyrighted,bool
attribute.confidentiality.data.variety.Credentials,bool
attribute.confidentiality.data.variety.Digital certificate,bool
attribute.confidentiality.data.variety.Internal,bool
attribute.confidentiality.data.variety.Medical,bool
attribute.confidentiality.data.variety.Multi-factor credential,bool
attribute.confidentiality.data.variety.Other,bool
attribute.confidentiality.data.variety.Payment,bool
attribute.confidentiality.data.variety.Personal,bool
attribute.confidentiality.data.variety.Secrets,bool
attribute.confidentiality.data.variety.Sensitive Personal,bool
attribute.confidentiality.data.variety.Session key,bool
attribute.confidentiality.data.variety.Source code,bool
attribute.confidentiality.data.variety.System,bool
attribute.confidentiality.data.variety.Unknown,bool
attribute.confidentiality.data.variety.Virtual currency,bool
attribute.confidentiality.notes,object
attribute.confidentiality.state.Other,bool
attribute.confidentiality.state.Printed,bool
attribute.confidentiality.state.Processed,bool
attribute.confidentiality.state.Stored,bool
attribute.confidentiality.state.Stored encrypted,bool
attribute.confidentiality.state.Stored unencrypted,bool
attribute.confidentiality.state.Transmitted,bool
attribute.confidentiality.state.Transmitted encrypted,bool
attribute.confidentiality.state.Transmitted unencrypted,bool
attribute.confidentiality.state.Unknown,bool
attribute.integrity.notes,object
attribute.integrity.variety.Alter behavior,bool
attribute.integrity.variety.Created account,bool
attribute.integrity.variety.Defacement,bool
attribute.integrity.variety.Fraudulent transaction,bool
attribute.integrity.variety.Hardware tampering,bool
attribute.integrity.variety.Log tampering,bool
attribute.integrity.variety.Misrepresentation,bool
attribute.integrity.variety.Modify configuration,bool
attribute.integrity.variety.Modify data,bool
attribute.integrity.variety.Modify privileges,bool
attribute.integrity.variety.Other,bool
attribute.integrity.variety.Repurpose,bool
attribute.integrity.variety.Software installation,bool
attribute.integrity.variety.Unknown,bool
attribute.unknown.notes,object
attribute.unknown.result,object
campaign_id,object
confidence.High,bool
confidence.Low,bool
confidence.Medium,bool
confidence.None,bool
control_failure,object
corrective_action,float64
cost_corrective_action.Difficult and expensive,bool
cost_corrective_action.Simple and cheap,bool
cost_corrective_action.Something in-between,bool
cost_corrective_action.Unknown,bool
discovery_method.external.variety.Actor disclosure,bool
discovery_method.external.variety.Audit,bool
discovery_method.external.variety.Customer,bool
discovery_method.external.variety.Emergency response team,bool
discovery_method.external.variety.Found documents,bool
discovery_method.external.variety.Fraud detection,bool
discovery_method.external.variety.Incident response,bool
discovery_method.external.variety.Law enforcement,bool
discovery_method.external.variety.Other,bool
discovery_method.external.variety.Security researcher,bool
discovery_method.external.variety.Suspicious traffic,bool
discovery_method.external.variety.Unknown,bool
discovery_method.external.variety.Unrelated 3rd party,bool
discovery_method.internal.variety.Antivirus,bool
discovery_method.internal.variety.Break in discovered,bool
discovery_method.internal.variety.Data loss prevention,bool
discovery_method.internal.variety.Financial audit,bool
discovery_method.internal.variety.Fraud detection,bool
discovery_method.internal.variety.Hids,bool
discovery_method.internal.variety.Incident response,bool
discovery_method.internal.variety.Infrastructure monitoring,bool
discovery_method.internal.variety.It review,bool
discovery_method.internal.variety.Log review,bool
discovery_method.internal.variety.Nids,bool
discovery_method.internal.variety.Offboarding,bool
discovery_method.internal.variety.Other,bool
discovery_method.internal.variety.Reported by employee,bool
discovery_method.internal.variety.Security alarm,bool
discovery_method.internal.variety.Unknown,bool
discovery_method.other,bool
discovery_method.partner.variety.Antivirus,bool
discovery_method.partner.variety.Audit,bool
discovery_method.partner.variety.Incident response,bool
discovery_method.partner.variety.Monitoring service,bool
discovery_method.partner.variety.Other,bool
discovery_method.partner.variety.Unknown,bool
discovery_method.unknown,bool
discovery_notes,object
impact.iso_currency_code.AED,bool
impact.iso_currency_code.AFN,bool
impact.iso_currency_code.ALL,bool
impact.iso_currency_code.AMD,bool
impact.iso_currency_code.ANG,bool
impact.iso_currency_code.AOA,bool
impact.iso_currency_code.ARS,bool
impact.iso_currency_code.AUD,bool
impact.iso_currency_code.AWG,bool
impact.iso_currency_code.AZN,bool
impact.iso_currency_code.BAM,bool
impact.iso_currency_code.BBD,bool
impact.iso_currency_code.BCH,bool
impact.iso_currency_code.BDT,bool
impact.iso_currency_code.BGN,bool
impact.iso_currency_code.BHD,bool
impact.iso_currency_code.BIF,bool
impact.iso_currency_code.BMD,bool
impact.iso_currency_code.BND,bool
impact.iso_currency_code.BOB,bool
impact.iso_currency_code.BRL,bool
impact.iso_currency_code.BSD,bool
impact.iso_currency_code.BTN,bool
impact.iso_currency_code.BWP,bool
impact.iso_currency_code.BYR,bool
impact.iso_currency_code.BZD,bool
impact.iso_currency_code.CAD,bool
impact.iso_currency_code.CDF,bool
impact.iso_currency_code.CHF,bool
impact.iso_currency_code.CLP,bool
impact.iso_currency_code.CNY,bool
impact.iso_currency_code.COP,bool
impact.iso_currency_code.CRC,bool
impact.iso_currency_code.CUC,bool
impact.iso_currency_code.CUP,bool
impact.iso_currency_code.CVE,bool
impact.iso_currency_code.CZK,bool
impact.iso_currency_code.DJF,bool
impact.iso_currency_code.DKK,bool
impact.iso_currency_code.DOP,bool
impact.iso_currency_code.DZD,bool
impact.iso_currency_code.EGP,bool
impact.iso_currency_code.ERN,bool
impact.iso_currency_code.ETB,bool
impact.iso_currency_code.Ether,bool
impact.iso_currency_code.EUR,bool
impact.iso_currency_code.FJD,bool
impact.iso_currency_code.FKP,bool
impact.iso_currency_code.GBP,bool
impact.iso_currency_code.GEL,bool
impact.iso_currency_code.GGP,bool
impact.iso_currency_code.GHS,bool
impact.iso_currency_code.GIP,bool
impact.iso_currency_code.GMD,bool
impact.iso_currency_code.GNF,bool
impact.iso_currency_code.GTQ,bool
impact.iso_currency_code.GYD,bool
impact.iso_currency_code.HKD,bool
impact.iso_currency_code.HNL,bool
impact.iso_currency_code.HRK,bool
impact.iso_currency_code.HTG,bool
impact.iso_currency_code.HUF,bool
impact.iso_currency_code.IDR,bool
impact.iso_currency_code.ILS,bool
impact.iso_currency_code.IMP,bool
impact.iso_currency_code.INR,bool
impact.iso_currency_code.IQD,bool
impact.iso_currency_code.IRR,bool
impact.iso_currency_code.ISK,bool
impact.iso_currency_code.JEP,bool
impact.iso_currency_code.JMD,bool
impact.iso_currency_code.JOD,bool
impact.iso_currency_code.JPY,bool
impact.iso_currency_code.KES,bool
impact.iso_currency_code.KGS,bool
impact.iso_currency_code.KHR,bool
impact.iso_currency_code.KMF,bool
impact.iso_currency_code.KPW,bool
impact.iso_currency_code.KRW,bool
impact.iso_currency_code.KWD,bool
impact.iso_currency_code.KYD,bool
impact.iso_currency_code.KZT,bool
impact.iso_currency_code.LAK,bool
impact.iso_currency_code.LBP,bool
impact.iso_currency_code.Litecoin,bool
impact.iso_currency_code.LKR,bool
impact.iso_currency_code.LRD,bool
impact.iso_currency_code.LSL,bool
impact.iso_currency_code.LTL,bool
impact.iso_currency_code.LVL,bool
impact.iso_currency_code.LYD,bool
impact.iso_currency_code.MAD,bool
impact.iso_currency_code.MDL,bool
impact.iso_currency_code.MGA,bool
impact.iso_currency_code.MKD,bool
impact.iso_currency_code.MMK,bool
impact.iso_currency_code.MNT,bool
impact.iso_currency_code.MOP,bool
impact.iso_currency_code.MRO,bool
impact.iso_currency_code.MUR,bool
impact.iso_currency_code.MVR,bool
impact.iso_currency_code.MWK,bool
impact.iso_currency_code.MXN,bool
impact.iso_currency_code.MYR,bool
impact.iso_currency_code.MZN,bool
impact.iso_currency_code.NAD,bool
impact.iso_currency_code.NGN,bool
impact.iso_currency_code.NIO,bool
impact.iso_currency_code.NOK,bool
impact.iso_currency_code.NPR,bool
impact.iso_currency_code.NZD,bool
impact.iso_currency_code.OMR,bool
impact.iso_currency_code.PAB,bool
impact.iso_currency_code.PEN,bool
impact.iso_currency_code.PGK,bool
impact.iso_currency_code.PHP,bool
impact.iso_currency_code.PKR,bool
impact.iso_currency_code.PLN,bool
impact.iso_currency_code.PYG,bool
impact.iso_currency_code.QAR,bool
impact.iso_currency_code.RON,bool
impact.iso_currency_code.RSD,bool
impact.iso_currency_code.RUB,bool
impact.iso_currency_code.RWF,bool
impact.iso_currency_code.SAR,bool
impact.iso_currency_code.SBD,bool
impact.iso_currency_code.SCR,bool
impact.iso_currency_code.SDG,bool
impact.iso_currency_code.SEK,bool
impact.iso_currency_code.SGD,bool
impact.iso_currency_code.SHP,bool
impact.iso_currency_code.SLL,bool
impact.iso_currency_code.SOS,bool
impact.iso_currency_code.SPL,bool
impact.iso_currency_code.SRD,bool
impact.iso_currency_code.STD,bool
impact.iso_currency_code.SVC,bool
impact.iso_currency_code.SYP,bool
impact.iso_currency_code.SZL,bool
impact.iso_currency_code.THB,bool
impact.iso_currency_code.TJS,bool
impact.iso_currency_code.TMT,bool
impact.iso_currency_code.TND,bool
impact.iso_currency_code.TOP,bool
impact.iso_currency_code.TRY,bool
impact.iso_currency_code.TTD,bool
impact.iso_currency_code.TVD,bool
impact.iso_currency_code.TWD,bool
impact.iso_currency_code.TZS,bool
impact.iso_currency_code.UAH,bool
impact.iso_currency_code.UGX,bool
impact.iso_currency_code.USD,bool
impact.iso_currency_code.UYU,bool
impact.iso_currency_code.UZS,bool
impact.iso_currency_code.VEF,bool
impact.iso_currency_code.VND,bool
impact.iso_currency_code.VUV,bool
impact.iso_currency_code.WST,bool
impact.iso_currency_code.XAF,bool
impact.iso_currency_code.XBT,bool
impact.iso_currency_code.XCD,bool
impact.iso_currency_code.XDR,bool
impact.iso_currency_code.XMR,bool
impact.iso_currency_code.XOF,bool
impact.iso_currency_code.XPF,bool
impact.iso_currency_code.YER,bool
impact.iso_currency_code.ZAR,bool
impact.iso_currency_code.ZEC,bool
impact.iso_currency_code.ZMK,bool
impact.iso_currency_code.ZWD,bool
impact.loss.amount,float64
impact.loss.max_amount,float64
impact.loss.min_amount,float64
impact.loss.rating.Major,bool
impact.loss.rating.Minor,bool
impact.loss.rating.Moderate,bool
impact.loss.rating.None,bool
impact.loss.rating.Unknown,bool
impact.loss.variety.Asset and fraud,bool
impact.loss.variety.Brand damage,bool
impact.loss.variety.Business disruption,bool
impact.loss.variety.Competitive advantage,bool
impact.loss.variety.Legal and regulatory,bool
impact.loss.variety.Operating costs,bool
impact.loss.variety.Other,bool
impact.loss.variety.Response and recovery,bool
impact.notes,object
impact.overall_amount,float64
impact.overall_max_amount,float64
impact.overall_min_amount,float64
impact.overall_rating.Catastrophic,bool
impact.overall_rating.Damaging,bool
impact.overall_rating.Distracting,bool
impact.overall_rating.Insignificant,bool
impact.overall_rating.Painful,bool
impact.overall_rating.Unknown,bool
incident_id,object
notes,object
plus.analysis_status,object
plus.analyst,object
plus.analyst_notes,object
plus.asset_os,object
plus.asset.total,object
plus.attack_difficulty_initial,object
plus.attack_difficulty_legacy,object
plus.attack_difficulty_subsequent,object
plus.attribute.confidentiality.credit_monitoring,object
plus.attribute.confidentiality.credit_monitoring_years,float64
plus.attribute.confidentiality.data_abuse,object
plus.attribute.confidentiality.partner_data,object
plus.attribute.confidentiality.partner_number,float64
plus.control_inadequacies_legacy,float64
plus.created,object
plus.dbir_year,float64
plus.github,object
plus.investigator,object
plus.master_id,object
plus.modified,object
plus.pci.compliance_status,float64
plus.pci.merchant_level,float64
plus.pci.notes,float64
plus.pci.requirements.req_1.assessed,float64
plus.pci.requirements.req_1.breach_cause,float64
plus.pci.requirements.req_1.breach_contribute,float64
plus.pci.requirements.req_1.in_place,object
plus.pci.requirements.req_1.notes,float64
plus.pci.requirements.req_10.assessed,float64
plus.pci.requirements.req_10.breach_cause,float64
plus.pci.requirements.req_10.breach_contribute,float64
plus.pci.requirements.req_10.in_place,object
plus.pci.requirements.req_10.notes,float64
plus.pci.requirements.req_11.assessed,float64
plus.pci.requirements.req_11.breach_cause,float64
plus.pci.requirements.req_11.breach_contribute,float64
plus.pci.requirements.req_11.in_place,object
plus.pci.requirements.req_11.notes,float64
plus.pci.requirements.req_12.assessed,float64
plus.pci.requirements.req_12.breach_cause,float64
plus.pci.requirements.req_12.breach_contribute,float64
plus.pci.requirements.req_12.in_place,object
plus.pci.requirements.req_12.notes,float64
plus.pci.requirements.req_2.assessed,float64
plus.pci.requirements.req_2.breach_cause,float64
