Column,DataType
action.malware.vector.Email autoexecute,bool
action.malware.vector.Email link,bool
action.malware.vector.Email other,bool
action.malware.vector.Email unknown,bool
action.malware.vector.Instant messaging,bool
action.malware.vector.Network propagation,bool
action.malware.vector.Other,bool
action.malware.vector.Partner,bool
action.malware.vector.Remote injection,bool
action.malware.vector.Removable media,bool
action.malware.vector.Software update,bool
action.malware.vector.Unknown,bool
action.malware.vector.Web application,bool
action.malware.vector.Web application - download,bool
action.malware.vector.Web application - drive-by,bool
action.misuse.notes,object
action.misuse.result.Deploy payload,bool
action.misuse.result.Elevate,bool
action.misuse.result.Exfiltrate,bool
action.misuse.result.Infiltrate,bool
action.misuse.result.Lateral movement,bool
action.misuse.result.NA,bool
action.misuse.result.Other,bool
action.misuse.result.Persist,bool
action.misuse.result.Unknown,bool
action.misuse.variety.Data mishandling,bool
action.misuse.variety.Email misuse,bool
action.misuse.variety.Evade Defenses,bool
action.misuse.variety.Illicit content,bool
action.misuse.variety.Knowledge abuse,bool
action.misuse.variety.Net misuse,bool
action.misuse.variety.Other,bool
action.misuse.variety.Password or Session Sharing,bool
action.misuse.variety.Possession abuse,bool
action.misuse.variety.Privilege abuse,bool
action.misuse.variety.Snap picture,bool
action.misuse.variety.Unapproved hardware,bool
action.misuse.variety.Unapproved software,bool
action.misuse.variety.Unapproved workaround,bool
action.misuse.variety.Unknown,bool
action.misuse.vector.LAN access,bool
action.misuse.vector.Non-corporate,bool
action.misuse.vector.Other,bool
action.misuse.vector.Physical access,bool
action.misuse.vector.Remote access,bool
action.misuse.vector.Unknown,bool
action.misuse.vector.Web application,bool
action.physical.notes,object
action.physical.result.Deploy payload,bool
action.physical.result.Elevate,bool
action.physical.result.Exfiltrate,bool
action.physical.result.Infiltrate,bool
action.physical.result.Lateral movement,bool
action.physical.result.NA,bool
action.physical.result.Other,bool
action.physical.result.Persist,bool
action.physical.result.Unknown,bool
action.physical.variety.Assault,bool
action.physical.variety.Bypassed controls,bool
action.physical.variety.Connection,bool
action.physical.variety.Destruction,bool
action.physical.variety.Disabled controls,bool
action.physical.variety.Evade Defenses,bool
action.physical.variety.Other,bool
action.physical.variety.Skimmer,bool
action.physical.variety.Snooping,bool
action.physical.variety.Surveillance,bool
action.physical.variety.Tampering,bool
action.physical.variety.Theft,bool
action.physical.variety.Unknown,bool
action.physical.variety.Wiretapping,bool
action.physical.vector.Other,bool
action.physical.vector.Partner facility,bool
action.physical.vector.Partner vehicle,bool
action.physical.vector.Personal residence,bool
action.physical.vector.Personal vehicle,bool
action.physical.vector.Public facility,bool
action.physical.vector.Public vehicle,bool
action.physical.vector.Unknown,bool
action.physical.vector.Victim grounds,bool
action.physical.vector.Victim public area,bool
action.physical.vector.Victim secure area,bool
