,vd,ad,X,ad_rank,Y,Z,GCI,F,vd_ad_ratio,log_X,log_vd_ad_ratio,log_ad,log_vd,log_Y
BZ,5.02991542197218,7.544873132958269,0.0188621828323956,2.0,99.59514170040484,50.0,10.29,4979.757085020242,0.6666665783064561,0.01868649762806948,0.5108255707498629,2.1453314695244257,1.7967329844337905,4.61110396326295
CA,9.99862176892564,0.5788675760956951,0.0374948316334711,17.0,93.52226720647774,52.225,97.67,4884.2004048583,17.272697433955592,0.03680899155220817,2.9054080022917677,0.4567078660793786,2.397769971214422,4.54883543855746
CC,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
CD,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
CF,0.0,0.0,0.0,77.0,69.23076923076923,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
CG,0.176772140710624,0.0,0.0006628955276648,77.0,69.23076923076923,50.0,14.72,3461.538461538461,176772.140710624,0.0006626759094750852,12.082622498587254,0.0,0.1627752162575479,4.251786523133432
CH,2.195358734327161,0.0,0.0082325952537268,77.0,69.23076923076923,47.375,86.97,3279.807692307692,2195358.734327161,0.008198892290310787,14.60185647913938,0.0,1.1616993614411848,4.251786523133432
CI,0.0,0.0,0.0,77.0,69.23076923076923,0.0,67.82,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
CK,386.7403314917127,0.0,1.450276243093923,77.0,69.23076923076923,100.0,18.2575,6923.076923076923,386740331.49171275,0.8962007704838085,19.77326405031566,0.0,5.960335866843674,4.251786523133432
CL,0.3138697636126493,0.0523116272687748,0.0011770116135474,52.0,79.35222672064778,58.325,68.83,4628.218623481782,5.999885304938544,0.0011763194784256685,1.9458937639122982,0.05098929408947805,0.2729768007002185,4.386419804564281
CM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,45.63,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
CN,0.0499246850465583,0.044219006755523,0.0001872175689245,55.0,78.13765182186235,53.575,92.53,4186.224696356276,1.1290067259051877,0.0001872000459024873,0.7556555450915038,0.04326924404616568,0.04871843306973085,4.371188764325045
CO,0.0589589222183239,0.0196529740727746,0.0002210959583187,71.0,71.65991902834008,50.0,63.72,3582.995951417004,2.9998473591148134,0.0002210715202093527,1.3862562001704741,0.019462347910435995,0.05728627664912379,4.2857899124013
CR,0.5889149712786168,0.0,0.0022084311422948,77.0,69.23076923076923,83.32499999999999,67.45,5768.653846153845,588914.9712786168,0.002205996142600113,13.286038789092359,0.0,0.46305137528494805,4.251786523133432
CU,0.0,0.0,0.0,77.0,69.23076923076923,0.0,58.76,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
CV,0.0,0.0,0.0,77.0,69.23076923076923,0.0,17.74,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
CW,6.451030229527656,0.0,0.0241913633607287,77.0,69.23076923076923,50.0,18.2575,3461.538461538461,6451030.229527656,0.023903387439706707,15.679750556539346,0.0,2.008352308673501,4.251786523133432
CX,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
CY,4.969516159624172,0.0,0.0186356855985906,77.0,69.23076923076923,58.325,88.82,4037.8846153846152,4969516.159624172,0.018464168821500083,15.418833242372298,0.0,1.7866658788310805,4.251786523133432
CZ,0.9346758768381336,0.0,0.003505034538143,77.0,69.23076923076923,55.00000000000001,74.37,3807.692307692308,934675.8768381337,0.003498906220388273,13.747956162272752,0.0,0.6599398069411219,4.251786523133432
DE,0.6847626201300389,0.0240267586010539,0.0025678598254876,69.0,72.46963562753037,57.02499999999999,97.41,4132.580971659919,28.498813871885826,0.002564568506672109,3.3843500548047376,0.023742657722237447,0.5216246756189461,4.296872200147047
DJ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
DK,2.057823467556012,0.171485288963001,0.007716838003335,37.0,85.4251012145749,54.175,92.6,4627.904858299595,11.999930023560061,0.007687215506026383,2.564943974643977,0.15827242145024917,1.1177033777686027,4.459278156933122
DM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
DO,0.0,0.0,0.0,77.0,69.23076923076923,0.0,75.05,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
DZ,0.0223713646532438,0.0,8.389261744966425e-05,77.0,69.23076923076923,50.0,33.95,3461.538461538461,22371.364653243803,8.388909866083186e-05,10.015581755345734,0.0,0.022124796280635822,4.251786523133432
EC,0.2833975512184394,0.0,0.0010627408170691,77.0,69.23076923076923,70.0,26.3,4846.153846153846,283397.5512184394,0.0010621765078212273,12.554609494081824,0.0,0.24951089829010087,4.251786523133432
EE,3.0051305090615954,1.5025652545307977,0.0112692394089809,6.0,97.97570850202428,75.0,99.48,7348.178137651821,1.999998668943886,0.011206214583112972,1.0986118449826399,0.917316307603855,1.3875761665216266,4.5948744513603526
EG,0.0586313089645913,0.0097718848274318,0.0002198674086172,74.0,70.44534412955466,66.67500000000001,95.48,4696.9433198380575,5.999386056409603,0.00021984324132084962,1.9458224389816976,0.009724448737220507,0.05697685582584824,4.268932739615256
EH,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
ER,0.0,0.0,0.0,77.0,69.23076923076923,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
ES,0.5068470067738202,0.0,0.0019006762754018,77.0,69.23076923076923,56.25,98.52,3894.230769230769,506847.00677382026,0.001898872275767706,13.135966448226746,0.0,0.41001939277456884,4.251786523133432
ET,0.0260952200837373,0.0086984066945791,9.785707531401488e-05,75.0,70.04048582995951,50.0,27.74,3502.024291497976,2.999655148896319,9.785228762275746e-05,1.3862081446274355,0.008660793514184266,0.025760549541424562,4.263249937483158
FI,1.627274862454592,0.0,0.0061022807342047,77.0,69.23076923076923,66.67500000000001,95.78,4615.961538461539,1627274.8624545923,0.0060837372193761575,14.30241792465883,0.0,0.9659471350186654,4.251786523133432
FJ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,29.08,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
FK,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
FM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
FO,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
FR,0.5193526989765577,0.0296772970843747,0.001947572621162,63.0,74.89878542510121,48.575,97.6,3638.208502024292,17.499410343526456,0.0019456785604198355,2.91773885825342,0.029245449350076766,0.4182843882193188,4.329400681969214
GA,1.347873594617132,0.0,0.0050545259798142,77.0,69.23076923076923,66.67500000000001,11.36,4615.961538461539,1347873.594617132,0.005041794745588515,14.114039535427308,0.0,0.853510065174739,4.251786523133432
GB,8.807519443529019,0.7290007647515574,0.0330281979132338,13.0,95.1417004048583,53.2,99.54,5061.538461538462,12.081616080217044,0.032494486873590606,2.5712078919303565,0.5475436490096487,2.2831493816159467,4.5658231490668255
GD,0.0,0.0,0.0,77.0,69.23076923076923,0.0,9.41,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
GE,0.5385029617662896,0.0,0.0020193861066235,77.0,69.23076923076923,50.0,81.06,3461.538461538461,538502.9617662897,0.0020173498873141986,13.19655013259198,0.0,0.43080984087806723,4.251786523133432
GF,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
GG,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
GH,0.1287293495997885,0.0321823373999471,0.0004827350609992,62.0,75.30364372469636,50.0,86.69,3765.182186234818,3.999875712081994,0.00048261858191382575,1.6094130545415444,0.031675334979755415,0.12109253065349877,4.33472069238865
GI,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
GL,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
GM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,32.12,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
GN,0.0,0.0,0.0,77.0,69.23076923076923,0.0,20.53,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
GP,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
GQ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
GR,0.0933223300084764,0.0,0.0003499587375317,77.0,69.23076923076923,50.0,93.98,3461.538461538461,93322.3300084764,0.00034989751625557643,11.443825409258643,0.0,0.08922106966066266,4.251786523133432
GS,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
GT,0.1186356919156834,0.0,0.0004448838446838,77.0,69.23076923076923,25.0,13.13,1730.7692307692307,118635.6919156834,0.0004447849132070926,11.68382109304211,0.0,0.11210981056275501,4.251786523133432
GU,5.924767304764106,0.0,0.0222178773928653,77.0,69.23076923076923,100.0,18.2575,6923.076923076923,5924767.304764106,0.02197465633319755,15.594652139539697,0.0,1.9351044493087064,4.251786523133432
GW,0.0,0.0,0.0,77.0,69.23076923076923,0.0,9.85,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
GY,0.0,0.0,0.0,77.0,69.23076923076923,0.0,28.11,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
HK,2.5330969109549777,0.133320890050262,0.0094991134160811,40.0,84.21052631578948,50.0,18.2575,4210.526315789474,18.999857487768942,0.009454280529736594,2.995725147917051,0.12515216352631642,1.2621747982173301,4.445124974511195
HM,110.70263900055748,0.25504538156349676,0.4151348962520906,65.15384615384616,74.02678293366553,0.0,18.2575,2605.34675211854,110135151.1315956,0.026626922954644326,4.064123587480579,0.09910071399581512,0.4444062725520426,4.311796450495937
HN,0.3028893218186929,0.0,0.00113583495682,77.0,69.23076923076923,100.0,2.2,6923.076923076923,302889.3218186929,0.0011351903843345695,12.621126044767301,0.0,0.2645843534902648,4.251786523133432
HR,0.2470844040324175,0.0,0.0009265665151215,77.0,69.23076923076923,50.0,92.53,3461.538461538461,247084.40403241751,0.0009261375173442269,12.417489321160495,0.0,0.2208083500788734,4.251786523133432
HT,0.0876998119628331,0.0,0.0003288742948606,77.0,69.23076923076923,50.0,6.4,3461.538461538461,87699.8119628331,0.0003288202275635946,11.381686436730563,0.0,0.08406520224170617,4.251786523133432
HU,0.2051331914427048,0.0,0.0007692494679101,77.0,69.23076923076923,50.0,91.28,3461.538461538461,205133.19144270482,0.0007689537471837832,12.231419636371825,0.0,0.18659009315196914,4.251786523133432
ID,0.0548398706669651,0.0329039224001791,0.0002056495150011,61.0,75.7085020242915,60.0,94.88,4542.510121457491,1.6666160156836172,0.0002056283720382336,0.9808102587126921,0.03237417748686618,0.053388974049746844,4.340012550004385
IE,14.214999667649304,0.4004225258492761,0.0533062487536848,21.0,91.90283400809716,52.125,85.86,4790.435222672065,35.49991134387041,0.05193402539159375,3.597309831650439,0.33677399526554763,2.7222817615053128,4.531554151361998
IL,5.533313803990496,0.4339853963914114,0.0207499267649643,19.0,92.71255060728744,60.775,90.93,5634.605263157894,12.749970621198948,0.020537579471245543,2.6210366874702213,0.3604575582981055,1.8769142883787662,4.540232124856112
IM,11.760278483394488,0.0,0.0441010443127293,77.0,69.23076923076923,50.0,18.2575,3461.538461538461,11760278.483394489,0.04315627051717158,16.280238265747126,0.0,2.5463371023959245,4.251786523133432
IN,0.1094199421692417,0.0101448953004594,0.0004103247831346,73.0,70.8502024291498,61.925,97.5,4387.398785425102,10.7846512238587,0.00041024062294199424,2.466797941029384,0.010093781257191028,0.10383730411223244,4.2745834299065875
IO,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
IQ,0.0248617049018555,0.0,9.323139338195811e-05,77.0,69.23076923076923,50.0,20.71,3461.538461538461,24861.7049018555,9.322704760570857e-05,10.121124164530197,0.0,0.02455768144060309,4.251786523133432
IR,0.1190576071304458,0.226209453547847,0.0004464660267391,29.0,88.66396761133603,60.0,81.07,5319.8380566801625,0.5263134628093714,0.00044636639043762983,0.4228553264525978,0.20392766594635714,0.11248690890768197,4.496068989491868
IS,5.458142866889541,2.7290714334447705,0.0204680357508357,4.0,98.78542510121456,50.0,79.81,4939.271255060728,1.9999992671502684,0.02026138063202585,1.098612044384836,1.3161592572064942,1.8653417945580222,4.603022131582389
IT,0.1847062456217273,0.0503744306241074,0.0006926484210814,53.0,78.94736842105263,54.55,96.13,4306.578947368421,3.666593879861252,0.000692408650875035,1.540429443652923,0.04914670119693959,0.16949484986619706,4.381368523429332
JE,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
JM,1.013116139244033,0.3377053797480109,0.0037991855221651,23.0,91.09311740890688,66.67500000000001,32.53,6073.633603238867,2.9999911165433066,0.0037919868438313917,1.386292140253251,0.29095574295145354,0.6996838396004552,4.522800210923885
JO,0.294027132823817,0.0980090442746056,0.0011026017480893,45.0,82.18623481781377,66.67500000000001,70.96,5479.767206477734,2.9999693908923106,0.0011019943292349143,1.3862867088136894,0.09349858009768203,0.2577591640380272,4.421081887238038
JP,0.5403858089250931,0.0158937002625027,0.002026446783469,72.0,71.25506072874494,52.95,97.82,3772.9554655870447,33.9978609222296,0.0020243963098357303,3.555286943113998,0.015768717956753928,0.43203291032535557,4.280202369228038
KE,0.1859728144939772,0.0,0.0006973980543524,77.0,69.23076923076923,75.0,81.7,5192.307692307692,185972.8144939772,0.0006971549853333013,12.133361160494136,0.0,0.17056337830099677,4.251786523133432
KG,0.0,0.0,0.0,77.0,69.23076923076923,0.0,49.64,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
KH,0.1196245869437778,0.1196245869437778,0.0004485922010391,41.0,83.80566801619433,75.0,19.12,6285.425101214575,0.9999916405843804,0.00044849161363837484,0.6931430008434005,0.11299343888943232,0.11299343888943232,4.440362380377789
KI,0.0,0.0,0.0,77.0,69.23076923076923,0.0,13.84,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
KM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,3.72,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
KN,0.0,0.0,0.0,77.0,69.23076923076923,0.0,12.44,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
KP,0.1551661703612055,0.8922054795769317,0.0005818731388545,10.0,96.35627530364371,62.5,1.35,6022.267206477732,0.1739128485536022,0.000581703916320489,0.16034248402823414,0.6377430691602065,0.14424420406799943,4.578377191000493
KR,1.0235497752931653,0.1158735594671508,0.0038383116573493,42.0,83.40080971659918,56.60000000000001,98.52,4720.485829959514,8.833257101472137,0.003830964134546594,2.2857702222549503,0.10963755957191668,0.7048532836441236,4.4355769953544595
KW,0.2341611632939263,0.0,0.0008781043623522,77.0,69.23076923076923,50.0,75.07,3461.538461538461,234161.1632939263,0.0008777190542605886,12.363769159851989,0.0,0.21039151930061134,4.251786523133432
KY,15.216068167985393,0.0,0.0570602556299452,77.0,69.23076923076923,50.0,18.2575,3461.538461538461,15216068.167985393,0.05549171153572219,16.537862609497342,0.0,2.786002612889346,4.251786523133432
KZ,0.3732449489294268,0.0533207069899181,0.0013996685584853,51.0,79.75708502024291,57.15,93.15,4558.117408906883,6.999868721382058,0.0013986899355072713,2.0794251317179504,0.0519477518239781,0.3171765150466276,4.391445698442587
LA,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
LB,0.4395319746325585,0.0,0.001648244904872,77.0,69.23076923076923,50.0,30.44,3461.538461538461,439531.97463255853,0.0016468880399979156,12.993468020898305,0.0,0.3643180431419576,4.251786523133432
LC,0.0,0.0,0.0,77.0,69.23076923076923,0.0,10.96,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
LI,0.0,0.0,0.0,77.0,69.23076923076923,0.0,35.15,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
LK,0.0912450385510287,0.0,0.0003421688945663,77.0,69.23076923076923,0.0,58.65,0.0,91245.0385510287,0.00034211036814033003,11.42131485736295,0.0,0.08731928158725324,4.251786523133432
LR,0.0,0.0,0.0,77.0,69.23076923076923,0.0,9.72,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
LS,0.0,0.0,0.0,77.0,69.23076923076923,0.0,9.08,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
LT,2.1469209575267474,0.7156403191755824,0.0080509535907253,14.0,94.73684210526316,50.0,97.93,4736.842105263158,2.999995807955858,0.008018717568757374,1.386293313108306,0.5397863748857044,1.146424500997454,4.561603199351682
LU,3.163180578071251,0.0,0.0118619271677671,77.0,69.23076923076923,75.0,97.41,5192.307692307692,3163180.578071251,0.011792125952116773,14.967088907554789,0.0,1.4262793441808674,4.251786523133432
LV,1.5776619890741648,0.0,0.0059162324590281,77.0,69.23076923076923,50.0,97.28,3461.538461538461,1577661.9890741648,0.00589880027720897,14.271455189184914,0.0,0.9468827822956258,4.251786523133432
LY,0.0,0.1455331439364998,0.0,39.0,84.61538461538461,0.0,28.78,0.0,0.0,0.0,0.0,0.13587015652731466,0.0,4.449864993814008
MA,0.0541850383296833,0.0270925191648416,0.0002031938937363,65.0,74.08906882591093,50.0,82.41,3704.4534412955454,1.9999261816086815,0.0002031732526531215,1.0985876822349343,0.02673201370953039,0.052767992898190653,4.318674993261309
MC,25.481602283151563,0.0,0.0955560085618183,77.0,69.23076923076923,50.0,72.57,3461.538461538461,25481602.283151563,0.09126200477279948,17.053467309889268,0.0,3.2764502384206615,4.251786523133432
MD,0.7639944686800467,0.7639944686800467,0.0028649792575501,12.0,95.54655870445345,50.0,75.78,4777.327935222673,0.9999986910917132,0.0028608830263568822,0.6931465261055877,0.5675808219107756,0.5675808219107756,4.570025365613245
ME,1.608446273069141,0.0,0.0060316735240092,77.0,69.23076923076923,50.0,53.23,3461.538461538461,1608446.273069141,0.0060135557982286675,14.290779844936893,0.0,0.9587547463999309,4.251786523133432
MF,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
MG,0.0,0.0,0.0,77.0,69.23076923076923,0.0,23.33,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
MH,0.0,0.0,0.0,77.0,69.23076923076923,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
MK,0.4814330528825323,0.0,0.0018053739483094,77.0,69.23076923076923,50.0,89.92,3461.538461538461,481433.0528825323,0.0018037462195743586,13.084524539017828,0.0,0.3930098982710096,4.251786523133432
ML,0.0493806822968377,0.0,0.0001851775586131,77.0,69.23076923076923,50.0,10.14,3461.538461538461,49380.6822968377,0.00018516041536532357,10.807334830703581,0.0,0.04820016376945678,4.251786523133432
MM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,36.41,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
MN,0.0,0.0,0.0,77.0,69.23076923076923,0.0,26.2,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
MO,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
MP,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
MQ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
MR,0.2150694889518803,0.2150694889518803,0.0008065105835695,30.0,88.25910931174089,50.0,18.94,4412.955465587044,0.9999953503616192,0.0008061855286705314,0.6931448557380525,0.19480126771006798,0.19480126771006798,4.491543480569003
MS,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
MT,3.807456904347164,0.0,0.0142779633913018,77.0,69.23076923076923,50.0,83.65,3461.538461538461,3807456.904347164,0.014176993235872739,15.152472307707976,0.0,1.5701682341862586,4.251786523133432
MU,0.0,0.0,0.0,77.0,69.23076923076923,0.0,96.89,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
